time_step,drone,x,y
119,drone3,10,10
119,drone4,13,19
119,drone5,12,19
119,drone6,15,19
120,drone1,11,11
120,drone2,11,12
120,drone3,11,10
120,drone4,12,19
120,drone5,11,19
120,drone6,16,19
121,drone1,12,11
121,drone2,12,12
121,drone3,11,11
121,drone4,11,19
121,drone5,10,19
121,drone6,16,18
122,drone1,13,11
122,drone2,13,12
122,drone3,12,11
122,drone4,11,18
122,drone5,10,18
122,drone6,16,17
123,drone1,14,11
123,drone2,14,12
123,drone3,13,11
123,drone4,12,18
123,drone5,11,18
123,drone6,16,16
124,drone1,15,11
124,drone2,15,12
124,drone3,14,11
124,drone4,13,18
124,drone5,12,18
124,drone6,16,15
125,drone1,15,10
125,drone2,16,12
125,drone3,14,10
125,drone4,14,18
125,drone5,13,18
125,drone6,17,15
126,drone1,15,9
126,drone2,16,11
126,drone3,14,9
126,drone4,14,17
126,drone5,14,18
126,drone6,18,15
127,drone1,15,8
127,drone2,16,10
127,drone3,15,9
127,drone4,13,17
127,drone5,15,18
127,drone6,19,15
128,drone1,15,7
128,drone2,16,9
128,drone3,15,8
128,drone4,12,17
128,drone5,16,18
128,drone6,20,15
129,drone1,15,6
129,drone2,16,8
129,drone3,15,7
129,drone4,11,17
129,drone5,17,18
129,drone6,21,15
130,drone1,15,5
130,drone2,16,7
130,drone3,15,6
130,drone4,10,17
130,drone5,18,18
130,drone6,22,15
131,drone1,15,4
131,drone2,16,6
131,drone3,15,5
131,drone4,9,17
131,drone5,19,18
131,drone6,23,15
132,drone1,15,3
132,drone2,16,5
132,drone3,15,4
132,drone4,8,17
132,drone5,19,17
132,drone6,24,15
133,drone1,16,3
133,drone2,16,4
133,drone3,14,4
133,drone4,7,17
133,drone5,20,17
133,drone6,24,14
134,drone1,15,3
134,drone2,15,4
134,drone3,14,3
134,drone4,6,17
134,drone5,21,17
134,drone6,23,14
135,drone1,14,3
135,drone2,14,4
135,drone3,15,3
135,drone4,5,17
135,drone5,22,17
135,drone6,22,14
136,drone1,13,3
136,drone2,13,4
136,drone3,16,3
136,drone4,4,17
136,drone5,23,17
136,drone6,21,14
137,drone1,12,3
137,drone2,12,4
137,drone3,17,3
137,drone4,3,17
137,drone5,24,17
137,drone6,20,14
138,drone1,11,3
138,drone2,11,4
138,drone3,18,3
138,drone4,2,17
138,drone5,24,18
138,drone6,19,14
139,drone1,10,3
139,drone2,10,4
139,drone3,19,3
139,drone4,1,17
139,drone5,23,18
139,drone6,18,14
140,drone1,9,3
140,drone2,9,4
140,drone3,20,3
140,drone4,0,17
140,drone5,22,18
140,drone6,17,14
141,drone1,8,3
141,drone2,8,4
141,drone3,21,3
141,drone4,0,18
141,drone5,21,18
141,drone6,17,15
142,drone1,7,3
142,drone2,7,4
142,drone3,22,3
142,drone4,1,18
142,drone5,21,19
142,drone6,18,15
